,Country,Risk
0,Afghanistan,0.010545462430095286
1,Albania,1.1181366296675663
2,Algeria,0.1584003989350397
3,American Samoa,0.45073469755701795
4,Andorra,3.3374022803417915
5,Angola,0.017299711695273726
6,Antigua and Barbuda,5.483663253224768
7,Argentina,0.4367056406204973
8,Armenia,0.8415272703619787
9,Aruba,2.144645472152676
10,Australia,0.5089153413187842
11,Austria,0.6716372950627425
12,Azerbaijan,1.0273241675445623
13,Bahrain,2.0593345775146408
14,Bangladesh,0.134547179854855
15,Barbados,1.0500940200459807
16,Belarus,1.1349037350720361
17,Belgium,0.46523974467670826
18,Belize,6.886451858793801
19,Benin,0.05171941815132162
20,Bermuda,1.6101800900450225
21,Bhutan,0.12725445854553455
22,Bolivia,0.18074291680664262
23,Bosnia and Herzegovina,0.5734177835928506
24,Botswana,0.2577495667944028
25,Brazil,0.7769681493185449
26,British Virgin Islands,10.200657673981611
27,Bulgaria,1.289966026101703
28,Burkina Faso,0.008151265205463777
29,Burundi,0.009932549932539194
30,Cabo Verde,0.21884373270169022
31,Cambodia,0.43317461546291225
32,Cameroon,0.1583106948114423
33,Canada,1.1684656428681985
34,Cayman Islands,2.2127341290865457
35,Central African Republic,0.0032144852419768058
36,Chad,0.0032304434927270765
37,Chile,0.41779770155201834
38,China,0.16217572680993445
39,Colombia,0.2858685985338786
40,Comoros,0.03243936841751149
41,Costa Rica,0.24382725988765544
42,Croatia,0.6032669829314814
43,Cuba,0.008290602919103648
44,Cyprus,0.8686037174221053
45,Denmark,0.7477430578913542
46,Djibouti,0.053184832937054186
47,Dominica,1.0610820244328099
48,Dominican Republic,0.17935168974980628
49,Ecuador,0.3919374899506022
50,El Salvador,0.08846326843119738
51,Equatorial Guinea,0.06493635473279072
52,Estonia,3.683139473261846
53,Eswatini,0.09417430696071348
54,Ethiopia,0.007589868135791694
55,Faroe Islands,0.4536363074004578
56,Fiji,0.10639706706297689
57,Finland,0.9352941709480704
58,France,0.863029982245575
59,French Polynesia,0.09723457661544445
60,Gabon,0.10380908565429216
61,Georgia,0.6494237469847226
62,Germany,1.0011826897097458
63,Ghana,0.10135348049262966
64,Gibraltar,1.1566522332285425
65,Greece,0.43839910034501445
66,Greenland,0.3034359660865685
67,Grenada,0.4037540151093725
68,Guam,0.36798417064813477
69,Guatemala,0.049049713972332834
70,Guinea,0.020379693834167933
71,Guinea-Bissau,0.006402359482881424
72,Guyana,0.2195110679791118
73,Haiti,0.015013697526677633
74,Honduras,0.34127692223287726
75,Hungary,0.7467663583546982
76,Iceland,3.0318971417581606
77,India,0.14459669852758236
78,Indonesia,0.2382880575376312
79,Iraq,0.08422317971774697
80,Ireland,1.5887484222745372
81,Isle of Man,3.199448124933097
82,Israel,0.4811004299961728
83,Italy,0.47913925640135757
84,Jamaica,0.2167057657022238
85,Japan,0.16163080271652924
86,Kazakhstan,0.41988347987215713
87,Kenya,0.08983711987291657
88,Kiribati,0.1985377264840695
89,Kosovo,0.01788327101284344
90,Kuwait,0.24194470367091267
91,Latvia,2.4380470293406526
92,Lebanon,0.18586858521592806
93,Lesotho,0.053601956613722475
94,Liberia,0.023241447303027178
95,Libya,0.0926845534378857
96,Liechtenstein,1.8728567660247954
97,Luxembourg,2.690348313719295
98,Madagascar,0.023798310952005547
99,Malawi,0.023093905386088485
100,Malaysia,0.35862694123443856
101,Maldives,0.7504421209394683
102,Mali,0.00912060107906146
103,Malta,1.5428205075176307
104,Marshall Islands,0.10271686097272867
105,Mauritania,0.012036375288731069
106,Mauritius,0.795856802678884
107,Mexico,0.10499974055158448
108,Monaco,2.7144408251900107
109,Mongolia,0.3734770715360001
110,Montenegro,0.8644722782379548
111,Morocco,0.16916863234418764
112,Mozambique,0.015595355052328858
113,Myanmar,0.022175304251784104
114,Namibia,0.10824035894953753
115,Nauru,0.9445843828715365
116,Nepal,0.18228508668385723
117,Netherlands,2.96970283297846
118,New Caledonia,2.235443216221925
119,New Zealand,0.3461262920888343
120,Nicaragua,0.07114671333891062
121,Niger,0.006594499082740823
122,Nigeria,0.028885807327682984
123,North Macedonia,0.6759617812745143
124,Northern Mariana Islands,0.07032101543546289
125,Norway,0.9082978569665148
126,Oman,0.17123986149242063
127,Pakistan,0.26819495301534485
128,Palau,0.7818171664712124
129,Panama,0.38330109629859466
130,Papua New Guinea,0.012432729637164148
131,Paraguay,0.18674334980192123
132,Peru,0.13004366215957008
133,Philippines,0.11990407449009685
134,Poland,0.9218361902619342
135,Portugal,0.4739460026404035
136,Puerto Rico,0.18559361633073596
137,Qatar,0.24517584176739426
138,Romania,0.8129327322427269
139,Rwanda,0.014713127743520758
140,Samoa,0.275327588844134
141,San Marino,0.8287701642740861
142,Saudi Arabia,0.1465284203562694
143,Senegal,0.07234602973566892
144,Serbia,0.6969265909719791
145,Seychelles,12.866621194270477
146,Sierra Leone,0.015555242417342187
147,Singapore,3.849130540573709
148,Slovenia,0.7013735312270843
149,Solomon Islands,0.021444173158634804
150,Somalia,0.01752380739163524
151,South Africa,0.21848533380851817
152,South Sudan,0.0017310621797534968
153,Spain,0.4394767209283656
154,Sri Lanka,0.08717120443008768
155,Sudan,0.014329618007071655
156,Suriname,0.21701727978388552
157,Sweden,1.9987872151858337
158,Switzerland,0.6975835148134637
159,Tajikistan,0.030326880923150258
160,Tanzania,0.015465652508131096
161,Thailand,0.6484942701648101
162,Togo,0.04842127625808489
163,Tonga,0.06783142920821342
164,Trinidad and Tobago,0.34607852025170915
165,Tunisia,0.26069579058008835
166,Turkey,0.2752438771539127
167,Turkmenistan,0.00837476849747082
168,Turks and Caicos Islands,0.9292446568432231
169,Tuvalu,0.5213764337851929
170,Uganda,0.018093239824910807
171,Ukraine,3.0749050546589527
172,United Arab Emirates,0.2705857225640769
173,United Kingdom,0.9965709962420696
174,United States,1.5515664068203072
175,Uruguay,0.4609632276007386
176,Uzbekistan,0.04575881342663114
177,Vanuatu,0.11616782834495011
178,Vietnam,1.106432519982778
179,Zambia,0.03215800623127646
180,Zimbabwe,0.03428210976674452
