,Country,Dias totales,Code
0,Albania,225,ALB
1,Algeria,1365,DZA
2,American Samoa,4870,ASM
3,Andorra,7,AND
4,Angola,111,AGO
5,Antigua and Barbuda,1,ATG
6,Argentina,386,ARG
7,Armenia,12940,ARM
8,Aruba,1106,ABW
9,Australia,136,AUS
10,Austria,7106,AUT
11,Azerbaijan,2907,AZE
12,Bahrain,141,BHR
13,Bangladesh,2871,BGD
14,Barbados,8028,BRB
15,Belarus,148,BLR
16,Belgium,6062,BEL
17,Belize,2423,BLZ
18,Benin,898,BEN
19,Bermuda,278,BMU
20,Bhutan,50,BTN
21,Bolivia,39,BOL
22,Bosnia and Herzegovina,2,BIH
23,Botswana,1124,BWA
24,Brazil,234,BRA
25,Bulgaria,142,BGR
26,Burkina Faso,4300,BFA
27,Burundi,114,BDI
28,Cabo Verde,49,CPV
29,Cambodia,54,KHM
30,Cameroon,2644,CMR
31,Canada,1574,CAN
32,Cayman Islands,17130,CYM
33,Central African Republic,100,CAF
34,Chad,2,TCD
35,Chile,27,CHL
36,China,5208,CHN
37,Colombia,6,COL
38,Comoros,7071,COM
39,Congo Republic,6,COG
40,Costa Rica,4,CRI
41,Croatia,681,HRV
42,Cuba,2034,CUB
43,Cyprus,86,CYP
44,Czechia,517,CZE
45,DR Congo,5005,COD
46,Denmark,249,DNK
47,Djibouti,2016,DJI
48,Dominica,16,DMA
49,Dominican Republic,53,DOM
50,Ecuador,25,ECU
51,Egypt,2977,EGY
52,El Salvador,10682,SLV
53,Equatorial Guinea,481,GNQ
54,Eritrea,33,ERI
55,Estonia,4,EST
56,Eswatini,1820,SWZ
57,Ethiopia,161,ETH
58,Faroe Islands,4,FRO
59,Fiji,1,FJI
60,Finland,110,FIN
61,France,2279,FRA
62,French Polynesia,12,PYF
63,Gabon,40,GAB
64,Georgia,77,GEO
65,Germany,824,DEU
66,Ghana,40379,GHA
67,Gibraltar,1475,GIB
68,Greece,26,GRC
69,Greenland,4036,GRL
70,Grenada,6,GRD
71,Guam,54,GUM
72,Guatemala,31,GTM
73,Guinea,21,GIN
74,Guinea-Bissau,87,GNB
75,Guyana,13,GUY
76,Haiti,85,HTI
77,Hashemite Kingdom of Jordan,173,JOR
78,Honduras,676,HND
79,Hungary,12259,HUN
80,Iceland,3690,ISL
81,India,359,IND
82,Indonesia,88340,IDN
83,Iran,26686,IRN
84,Iraq,10211,IRQ
85,Ireland,2024,IRL
86,Isle of Man,4402,IMN
87,Israel,511,ISR
88,Italy,2899,ITA
89,Ivory Coast,19313,CIV
90,Jamaica,559,JAM
91,Japan,571,JPN
92,Kazakhstan,37,KAZ
93,Kenya,5745,KEN
94,Kiribati,2898,KIR
95,Kosovo,13,XKX
96,Kuwait,23,KWT
97,Kyrgyzstan,1186,KGZ
98,Laos,977,LAO
99,Latvia,1038,LVA
100,Lebanon,1794,LBN
101,Lesotho,1171,LSO
102,Liberia,95,LBR
103,Libya,77,LBY
104,Liechtenstein,558,LIE
105,Luxembourg,26,LUX
106,Madagascar,269,MDG
107,Malawi,231,MWI
108,Malaysia,179,MYS
109,Maldives,5694,MDV
110,Mali,176,MLI
111,Malta,119,MLT
112,Marshall Islands,568,MHL
113,Mauritania,40,MRT
114,Mauritius,154,MUS
115,Mexico,4,MEX
116,Monaco,9913,MCO
117,Mongolia,29,MNG
118,Montenegro,506,MNE
119,Morocco,10,MAR
120,Mozambique,5960,MOZ
121,Myanmar,252,MMR
122,Namibia,1240,NAM
123,Nauru,253,NRU
124,Nepal,3,NPL
125,Netherlands,2067,NLD
126,New Caledonia,23376,NCL
127,New Zealand,124,NZL
128,Nicaragua,959,NIC
129,Niger,192,NER
130,Nigeria,66,NGA
131,North Macedonia,2,MKD
132,Northern Mariana Islands,1744,MNP
133,Norway,11,NOR
134,Oman,2105,OMN
135,Pakistan,602,PAK
136,Palau,30149,PLW
137,Panama,880,PAN
138,Papua New Guinea,792,PNG
139,Paraguay,56,PRY
140,Peru,646,PER
141,Philippines,4949,PHL
142,Poland,3,POL
143,Portugal,16640,PRT
144,Puerto Rico,3316,PRI
145,Qatar,397,QAT
146,Republic of Lithuania,521,LTU
147,Republic of Moldova,2046,MDA
148,Romania,1408,ROU
149,Russia,8664,RUS
150,Rwanda,111314,RWA
151,Samoa,28,WSM
152,San Marino,16,SMR
153,Saudi Arabia,14,SAU
154,Senegal,6466,SEN
155,Serbia,842,SRB
156,Sierra Leone,445,SLE
157,Singapore,43,SGP
158,Slovakia,3,SVK
159,Slovenia,1622,SVN
160,Solomon Islands,716,SLB
161,Somalia,10,SOM
162,South Africa,131,ZAF
163,South Korea,7344,KOR
164,South Sudan,20600,SSD
165,Spain,9,ESP
166,Sri Lanka,11159,LKA
167,Sudan,24,SDN
168,Suriname,908,SUR
169,Sweden,4,SWE
170,Switzerland,8562,CHE
171,Syria,2464,SYR
172,Tajikistan,19377,TJK
173,Tanzania,149,TZA
174,Thailand,760,THA
175,Togo,19299,TGO
176,Tonga,1,TON
177,Trinidad and Tobago,6,TTO
178,Tunisia,392,TUN
179,Turkey,4603,TUR
180,Turkmenistan,15839,TKM
181,Turks and Caicos Islands,60,TCA
182,Tuvalu,23,TUV
183,Uganda,27,UGA
184,Ukraine,403,UKR
185,United Arab Emirates,58952,ARE
186,United Kingdom,1297,GBR
187,United States,24662,USA
188,Uruguay,219182,URY
189,Uzbekistan,2567,UZB
190,Vanuatu,1415,VUT
191,Venezuela,3,VEN
192,Vietnam,3590,VNM
193,Yemen,1,YEM
194,Zambia,185,ZMB
195,Zimbabwe,420,ZWE
